#col1	col2
1	83.33
2	100
3	91.67
4	75
5	100
6	100
7	75
8	100
9	91.67
10	0
11	83.33
12	83.33
13	100
14	91.67
15	100
16	100
17	91.67
18	100
19	100
20	0
21	75
22	100
23	75
24	100
25	100
26	100
27	100
28	0
29	100
30	0
31	100
32	100
33	66.67
34	100
35	100
36	91.67
37	91.67
38	100
39	100
40	100
41	100
42	100
43	100
44	83.33
45	75
46	100
47	100
48	75
49	75
50	100
51	100
52	100
53	0
54	100
55	83.33
56	100
57	100
58	100
59	91.67
60	100
61	91.67
62	0
63	83.33
64	100
65	100
66	100
67	83.33
68	91.67
69	91.67
70	100
71	100
72	100
73	83.33
74	100
75	100
76	100
77	100
78	100
79	100
80	100
81	100
82	100
83	100
84	0
85	100
86	96.67
87	95
88	100
89	96.67
90	100
91	100
92	100
93	83.33
94	0
95	78.33
96	100
97	100
98	100
99	100
100	83.33
101	100
102	100
103	78.33
104	100
105	83.33
106	0
107	100
108	95
109	75
110	100
111	61.67
112	100
113	90
114	86.67
115	100
116	86.67
117	100
118	96.67
119	100
120	50
121	100
122	100
123	0
124	100
125	100
126	100
127	100
128	100
129	100
130	75
131	100
132	0
133	100
134	66.67
135	66.67
136	86.67
137	100
138	100
139	100
140	41.67
141	88.33
142	100
143	0
144	100
145	66.67
146	83.33
147	100
148	100
149	100
150	41.67
151	83.33
152	83.33
153	100
154	100
155	100
156	0
157	0
158	75
159	0
160	96.67
161	100
162	91.67
163	91.67
164	100
165	100
166	96.67
167	91.67
168	100
169	96.67
170	100
171	100
172	100
173	91.67
174	96.67
175	0
176	100
177	91.67
178	100
179	91.67
180	96.67
181	91.67
182	100
183	91.67
184	100
185	0
186	100
187	83.33
188	100
189	75
190	100
191	100
192	0
193	100
194	100
195	91.67
196	100
197	83.33
198	100
199	91.67
200	100
201	66.67
202	0
203	75
204	96.67
205	100
206	100
207	100
208	100
209	100
210	100
211	96.67
212	100
213	91.67
214	0
215	100
216	0
217	100
218	100
219	66.67
220	0
221	100
222	83.33
223	100
224	0
